종목코드,종목명,종가,대비,시가,고가,저가,현물가,정산가,거래량,거래대금,미결제약정
"B0165547","코스피200 C 202605   547.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165550","코스피200 C 202605   550.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165550","코스피200 C 202605   550.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165552","코스피200 C 202605   552.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165552","코스피200 C 202605   552.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165555","코스피200 C 202605   555.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165555","코스피200 C 202605   555.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165557","코스피200 C 202605   557.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165557","코스피200 C 202605   557.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165560","코스피200 C 202605   560.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165560","코스피200 C 202605   560.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165562","코스피200 C 202605   562.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165562","코스피200 C 202605   562.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165565","코스피200 C 202605   565.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165565","코스피200 C 202605   565.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165567","코스피200 C 202605   567.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165567","코스피200 C 202605   567.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165570","코스피200 C 202605   570.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165570","코스피200 C 202605   570.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165572","코스피200 C 202605   572.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165572","코스피200 C 202605   572.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165575","코스피200 C 202605   575.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165575","코스피200 C 202605   575.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165577","코스피200 C 202605   577.5 (야간)",,,,,,"0.00",,"0","0.0","0"
