idx,매물ID,상세링크,error
379,41644907,https://fem.encar.com/cars/detail/41644907?advClickPosition=mweb_mhightlight_g129_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
380,41286661,https://fem.encar.com/cars/detail/41286661?advClickPosition=mweb_mhightlight_g130_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
381,41582709,https://fem.encar.com/cars/detail/41582709?advClickPosition=mweb_mhightlight_g131_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
382,41565837,https://fem.encar.com/cars/detail/41565837?advClickPosition=mweb_mhightlight_g132_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
383,41509642,https://fem.encar.com/cars/detail/41509642?advClickPosition=mweb_mhightlight_g133_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
384,41500651,https://fem.encar.com/cars/detail/41500651?advClickPosition=mweb_mhightlight_g134_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
385,41460927,https://fem.encar.com/cars/detail/41460927?advClickPosition=mweb_mhightlight_g135_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
386,41460682,https://fem.encar.com/cars/detail/41460682?advClickPosition=mweb_mhightlight_g136_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
387,41322192,https://fem.encar.com/cars/detail/41322192?advClickPosition=mweb_mhightlight_g137_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
388,41643990,https://fem.encar.com/cars/detail/41643990?advClickPosition=mweb_mhightlight_g138_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
389,41630861,https://fem.encar.com/cars/detail/41630861?advClickPosition=mweb_mhightlight_g139_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
390,41490789,https://fem.encar.com/cars/detail/41490789?advClickPosition=mweb_mhightlight_g140_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
391,41650528,https://fem.encar.com/cars/detail/41650528?advClickPosition=mweb_mhightlight_g141_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
392,41245660,https://fem.encar.com/cars/detail/41245660?advClickPosition=mweb_mhightlight_g142_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
393,41234895,https://fem.encar.com/cars/detail/41234895?advClickPosition=mweb_mhightlight_g143_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
394,41228196,https://fem.encar.com/cars/detail/41228196?advClickPosition=mweb_mhightlight_g144_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
